name,kind,n_used,ate_kfold_shuffled,ate_tss,ate_delta,ci_width_kfold,ci_width_tss,sig_kfold,sig_tss,ci_width_delta,sig_flipped
journal_tracked_your_calories,binary,176,-19.79533397351219,-19.228903121465557,0.5664308520466328,67.04916121099811,41.83309687739377,False,False,-25.216064333604336,False
journal_felt_nervous_or_anxious,binary,147,-11.21192324796462,-16.29638812708293,-5.084464879118311,24.64871270733265,71.51169088598613,False,False,46.86297817865348,False
journal_feeling_sick_or_ill,binary,251,6.520589884678044,41.823575118222635,35.30298523354459,19.524301587398742,51.850193908548704,False,True,32.325892321149965,True
journal_slept_in_the_same_bed_as_usual,binary,176,-4.069377454712855,-7.628415199374287,-3.559037744661432,53.46409143613911,48.39406452006106,False,False,-5.070026916078049,False
journal_felt_recovered,binary,146,13.316264364624228,15.471588170124663,2.1553238055004353,58.22129403737251,43.502636088906485,False,False,-14.718657948466024,False
journal_took_a_rest_day,binary,176,4.196417902396875,2.4261663781094343,-1.7702515242874406,20.55889018734091,52.10260089966852,False,False,31.543710712327613,False
journal_wore_ear_plugs_to_bed,binary,159,12.674121159267322,23.338694636092654,10.664573476825332,30.683920818284463,78.56866709304659,False,False,47.88474627476212,False
journal_felt_energized_throughout_the_day,binary,176,-6.028037748218654,-13.287794130812493,-7.25975638259384,46.369584695937675,29.383301486186866,False,False,-16.98628320975081,False
journal_made_progress_on_an_important_goal,binary,251,0.9453775067568242,-49.32194964541139,-50.267327152168214,31.28841090642201,75.89699915882912,False,True,44.60858825240711,True
journal_felt_emotionally_and_mentally_stable,binary,251,11.078176451766188,-16.60921625229986,-27.68739270406605,35.413942561085925,70.44129228924038,False,False,35.027349728154455,False
journal_took_a_melatonin_supplement,binary,80,14.07959322783367,12.450506284243342,-1.6290869435903268,78.69434393918885,48.610912746908255,False,False,-30.0834311922806,False
journal_saw_artificial_light_upon_waking_up,binary,221,7.110197142104281,11.301676666648534,4.1914795245442535,34.98592780468806,41.19812703593756,False,False,6.2121992312495,False
journal_slept_with_a_nightguard_or_retainer,binary,176,0.055623740522529434,-23.131672345728887,-23.18729608625142,35.6399934361947,72.35902101099342,False,False,36.719027574798716,False
journal_consumed_magnesium,binary,251,-17.41119783171842,9.436618030261586,26.84781586198001,37.93490425962487,84.11835498040378,False,False,46.18345072077891,False
had_evening_workout,binary,176,0.40243783777485476,-3.207777640827566,-3.6102154786024205,44.84885603495379,19.299566525923762,False,False,-25.54928950903003,False
journal_experienced_bloating,binary,251,6.833365635709982,14.417207337667028,7.583841701957046,32.74921310705245,44.82545235888649,False,False,12.07623925183404,False
journal_spend_time_outdoors,binary,147,5.498185528744191,30.667318384433276,25.169132855689085,24.799766899156715,65.98053797482073,False,False,41.18077107566402,False
journal_wore_a_nasal_strip_while_sleeping,binary,87,5.245738426740514,-15.99398087186948,-21.239719298609995,85.3659730093468,101.25261597951811,False,False,15.886642970171309,False
journal_connected_with_family_and_or_friends,binary,113,15.152409758987499,-21.24216911822589,-36.39457887721339,31.13418346708856,96.4203467776029,False,False,65.28616331051434,False
journal_took_a_cold_shower,binary,245,-2.7108556291509287,-19.846662914380996,-17.13580728523007,18.631125765044306,70.11196531286163,False,False,51.480839547817325,False
journal_worked_from_home,binary,169,-22.54561818201346,27.544529478911283,50.09014766092474,63.7438412777172,121.14284232305035,False,False,57.399001045333144,False
journal_consumed_caffeine,binary,185,14.387172060914429,37.29671195100637,22.909539890091942,23.103915110420452,89.83342599932783,True,False,66.72951088890738,True
journal_ate_food_close_to_bedtime,binary,79,12.21691379922186,-61.24781955699991,-73.46473335622177,29.74522818103368,150.20071014008283,False,False,120.45548195904915,False
journal_learned_something_interesting_or_important,binary,131,12.464201379072577,10.41137671041715,-2.0528246686554272,48.201403452551546,38.05976179951189,False,False,-10.141641653039656,False
is_transition_day,binary,80,13.585672291959366,37.22441548551491,23.638743193555545,55.738179399698254,136.86666105994345,False,False,81.1284816602452,False
journal_did_zone_2_cardio,binary,251,10.15201021932751,15.900714519691633,5.748704300364123,24.057470616366633,60.03832098751499,False,False,35.980850371148364,False
journal_worked_late,binary,169,10.167119854401047,33.39229364798844,23.22517379358739,34.667994702476335,73.1826107624614,False,False,38.51461605998506,False
journal_consumed_carbohydrates,binary,251,8.262296374216074,9.370663579805749,1.1083672055896745,20.060032449518566,26.444106820743375,False,False,6.384074371224809,False
negative_split,binary,251,12.373451721630866,-5.992937418483263,-18.36638914011413,26.517667336738903,66.0628760696917,False,False,39.545208732952794,False
journal_felt_irritable,binary,52,3.0790216559581913,-83.7345755889632,-86.81359724492138,84.95642076898508,191.7014128665262,False,False,106.74499209754111,False
journal_took_a_hot_shower_before_bed,binary,552,-9.643179447831482,-11.85662740645896,-2.2134479586274782,11.778589716139187,12.871541354374163,True,True,1.0929516382349753,False
